Product Name,Price,Color,Product Link,Image Link
Cigarette trousers,"Rs.1,999.00",Black,https://www2.hm.com/en_in/productpage.1036648008.html,"https://lp2.hm.com/hmgoepprod?set=source[/59/08/5908f1fbc61e1ac379d15d027341ce4180df2201.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
Jumper,"Rs.1,299.00",Black/Striped,https://www2.hm.com/en_in/productpage.1202990010.html,"https://lp2.hm.com/hmgoepprod?set=source[/33/b0/33b03e2ff4b491b34f664dd7bd6f536b3343f5e8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sweatshirt,"Rs.1,499.00",White/Paris,https://www2.hm.com/en_in/productpage.1011828077.html,"https://lp2.hm.com/hmgoepprod?set=source[/97/f4/97f42ee3bab6d750628bd88ec678b728436a716d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Belt,"Rs.1,399.00",Black,https://www2.hm.com/en_in/productpage.1221560001.html,"https://lp2.hm.com/hmgoepprod?set=source[/f2/1a/f21a62ce283d685b5342fa8d2a2be07e14d5cc77.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Leather belt,"Rs.1,399.00",Black/Silver-coloured,https://www2.hm.com/en_in/productpage.0179950001.html,"https://lp2.hm.com/hmgoepprod?set=source[/db/3c/db3c9171b3775171c0c0dbcb9fd6022b6eb602b7.jpg],origin[dam],category[ladies_accessories_belts],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Puff-sleeved top,Rs.999.00,Black,https://www2.hm.com/en_in/productpage.1138084002.html,"https://lp2.hm.com/hmgoepprod?set=source[/4c/83/4c834feb15b3ea52dcb45ce3f6a2db63c552dd64.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Pleated jersey dress,"Rs.3,999.00",White/Blue floral,https://www2.hm.com/en_in/productpage.1222429001.html,"https://lp2.hm.com/hmgoepprod?set=source[/f0/39/f03952663248de06e5ddbbf1967cd7a9e33115bf.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Textured-weave jacket,"Rs.3,999.00",Light beige marl,https://www2.hm.com/en_in/productpage.1220291003.html,"https://lp2.hm.com/hmgoepprod?set=source[/3a/cf/3acfa574f74961086fa016c36652ec042116bf22.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
10-pack trainer socks,Rs.999.00,Light purple/Dusty pink/White,https://www2.hm.com/en_in/productpage.0994905012.html,"https://lp2.hm.com/hmgoepprod?set=source[/8c/0a/8c0a24a00b184e97d320ccd5728ea9060107a033.jpg],origin[dam],category[ladies_sockstights_socks_ankle],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Oval sunglasses,Rs.799.00,Transparent/Light beige,https://www2.hm.com/en_in/productpage.1226722003.html,"https://lp2.hm.com/hmgoepprod?set=source[/d8/30/d830ed3581cbf822c9c2aacb484e8bcad2ae5f7c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linked seam-detail jumper,Rs.999.00,Cream/Striped,https://www2.hm.com/en_in/productpage.1202988004.html,"https://lp2.hm.com/hmgoepprod?set=source[/f7/15/f7158a74e0e22e21169c9448599e86a3a6986167.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Textured-knit cardigan,"Rs.3,999.00",Dark khaki green,https://www2.hm.com/en_in/productpage.1194323004.html,"https://lp2.hm.com/hmgoepprod?set=source[/b2/46/b2464fa750525911dbfc1ce3e7af4457cefcd1a9.jpg],origin[dam],category[ladies_cardigansjumpers_cardigans],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Rib-knit dress,"Rs.2,899.00",Brown,https://www2.hm.com/en_in/productpage.1217398001.html,"https://lp2.hm.com/hmgoepprod?set=source[/63/64/6364c2e91aa1d62b30ee3a15c42ab5e67e27f658.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
5-pack lace hipster briefs,"Rs.1,999.00",Pigeon blue/Light blue/White,https://www2.hm.com/en_in/productpage.1171002006.html,"https://lp2.hm.com/hmgoepprod?set=source[/e1/1a/e11af133584ebaa2b1248e962482168a2350baea.jpg],origin[dam],category[ladies_lingerie_briefsknickers_hipster],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Baggy Regular Jeans,"Rs.2,299.00",Light denim blue,https://www2.hm.com/en_in/productpage.1210963003.html,"https://lp2.hm.com/hmgoepprod?set=source[/53/35/5335364e85544beec737b28a3339c7aefb7ee381.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Broderie-anglaise-sleeve top,"Rs.1,299.00",White,https://www2.hm.com/en_in/productpage.1223275002.html,"https://lp2.hm.com/hmgoepprod?set=source[/b8/b6/b8b6a8bfc5dcaa5b6e5c38083fc306f06db19ecc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped zip-through hoodie,"Rs.1,399.00",Black,https://www2.hm.com/en_in/productpage.1193900001.html,"https://lp2.hm.com/hmgoepprod?set=source[/6c/f2/6cf2ba40a4f22dc3a48a76df75a9ea4f761c6c65.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
Tunic dress,"Rs.1,999.00",Khaki green,https://www2.hm.com/en_in/productpage.1207175003.html,"https://lp2.hm.com/hmgoepprod?set=source[/6a/80/6a806c8b1c2dfc9ae8184e9a11062a11182a861d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cap-sleeved top,Rs.799.00,White/Spotted,https://www2.hm.com/en_in/productpage.1209450004.html,"https://lp2.hm.com/hmgoepprod?set=source[/fa/54/fa5465d76b20c08a1f11c622dba2b0aaf272e406.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Twill cargo trousers,"Rs.2,299.00",Beige,https://www2.hm.com/en_in/productpage.1210465002.html,"https://lp2.hm.com/hmgoepprod?set=source[/a5/9e/a59eb3d3250b4fd95d9f3fa8b872af9feb3160ec.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sweatshirt,"Rs.1,299.00",Powder pink,https://www2.hm.com/en_in/productpage.0889828070.html,"https://lp2.hm.com/hmgoepprod?set=source[/40/7d/407de5489ca16b3c05b900a9b5884531ca2a8993.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Double-breasted twill trench coat,"Rs.4,999.00",Beige,https://www2.hm.com/en_in/productpage.1202758002.html,"https://lp2.hm.com/hmgoepprod?set=source[/a3/b2/a3b2c353aa8cb868c6cf2fc33eb676c05d5776ec.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend bomber jacket,"Rs.2,699.00",Dark khaki green,https://www2.hm.com/en_in/productpage.1211789004.html,"https://lp2.hm.com/hmgoepprod?set=source[/17/f0/17f05ceb4e051ff910351f40d135461279267c83.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Ribbed vest top,Rs.699.00,White,https://www2.hm.com/en_in/productpage.1170067002.html,"https://lp2.hm.com/hmgoepprod?set=source[/23/93/2393a48536e4f57989cff838b700ce19cba4c9d9.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Twist-detail vest top,"Rs.1,299.00",Black,https://www2.hm.com/en_in/productpage.1201251008.html,"https://lp2.hm.com/hmgoepprod?set=source[/63/61/6361b1a9f971af22cf6bc49d7453ee1d22b5552b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
